A Matrix
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->improving nan
NN->improving nan
JJ->improving nan
IN->improving nan
VB->improving nan
TO->improving nan
DT->improving nan
PRP->improving nan
RB->improving nan
CC->improving nan
NP->them nan
NN->them nan
JJ->them nan
IN->them nan
VB->them nan
TO->them nan
DT->them nan
PRP->them nan
RB->them nan
CC->them nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->grand nan
NN->grand nan
JJ->grand nan
IN->grand nan
VB->grand nan
TO->grand nan
DT->grand nan
PRP->grand nan
RB->grand nan
CC->grand nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->commented nan
NN->commented nan
JJ->commented nan
IN->commented nan
VB->commented nan
TO->commented nan
DT->commented nan
PRP->commented nan
RB->commented nan
CC->commented nan
NP->on nan
NN->on nan
JJ->on nan
IN->on nan
VB->on nan
TO->on nan
DT->on nan
PRP->on nan
RB->on nan
CC->on nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->number nan
NN->number nan
JJ->number nan
IN->number nan
VB->number nan
TO->number nan
DT->number nan
PRP->number nan
RB->number nan
CC->number nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->other nan
NN->other nan
JJ->other nan
IN->other nan
VB->other nan
TO->other nan
DT->other nan
PRP->other nan
RB->other nan
CC->other nan
NP->topics nan
NN->topics nan
JJ->topics nan
IN->topics nan
VB->topics nan
TO->topics nan
DT->topics nan
PRP->topics nan
RB->topics nan
CC->topics nan
NP->among nan
NN->among nan
JJ->among nan
IN->among nan
VB->among nan
TO->among nan
DT->among nan
PRP->among nan
RB->among nan
CC->among nan
NP->them nan
NN->them nan
JJ->them nan
IN->them nan
VB->them nan
TO->them nan
DT->them nan
PRP->them nan
RB->them nan
CC->them nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->atlanta nan
NN->atlanta nan
JJ->atlanta nan
IN->atlanta nan
VB->atlanta nan
TO->atlanta nan
DT->atlanta nan
PRP->atlanta nan
RB->atlanta nan
CC->atlanta nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->fulton nan
NN->fulton nan
JJ->fulton nan
IN->fulton nan
VB->fulton nan
TO->fulton nan
DT->fulton nan
PRP->fulton nan
RB->fulton nan
CC->fulton nan
NP->county nan
NN->county nan
JJ->county nan
IN->county nan
VB->county nan
TO->county nan
DT->county nan
PRP->county nan
RB->county nan
CC->county nan
NP->purchasing nan
NN->purchasing nan
JJ->purchasing nan
IN->purchasing nan
VB->purchasing nan
TO->purchasing nan
DT->purchasing nan
PRP->purchasing nan
RB->purchasing nan
CC->purchasing nan
NP->departments nan
NN->departments nan
JJ->departments nan
IN->departments nan
VB->departments nan
TO->departments nan
DT->departments nan
PRP->departments nan
RB->departments nan
CC->departments nan
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->are nan
NN->are nan
JJ->are nan
IN->are nan
VB->are nan
TO->are nan
DT->are nan
PRP->are nan
RB->are nan
CC->are nan
NP->well nan
NN->well nan
JJ->well nan
IN->well nan
VB->well nan
TO->well nan
DT->well nan
PRP->well nan
RB->well nan
CC->well nan
NP->operated nan
NN->operated nan
JJ->operated nan
IN->operated nan
VB->operated nan
TO->operated nan
DT->operated nan
PRP->operated nan
RB->operated nan
CC->operated nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->follow nan
NN->follow nan
JJ->follow nan
IN->follow nan
VB->follow nan
TO->follow nan
DT->follow nan
PRP->follow nan
RB->follow nan
CC->follow nan
NP->generally nan
NN->generally nan
JJ->generally nan
IN->generally nan
VB->generally nan
TO->generally nan
DT->generally nan
PRP->generally nan
RB->generally nan
CC->generally nan
NP->accepted nan
NN->accepted nan
JJ->accepted nan
IN->accepted nan
VB->accepted nan
TO->accepted nan
DT->accepted nan
PRP->accepted nan
RB->accepted nan
CC->accepted nan
NP->practices nan
NN->practices nan
JJ->practices nan
IN->practices nan
VB->practices nan
TO->practices nan
DT->practices nan
PRP->practices nan
RB->practices nan
CC->practices nan
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->inure nan
NN->inure nan
JJ->inure nan
IN->inure nan
VB->inure nan
TO->inure nan
DT->inure nan
PRP->inure nan
RB->inure nan
CC->inure nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->best nan
NN->best nan
JJ->best nan
IN->best nan
VB->best nan
TO->best nan
DT->best nan
PRP->best nan
RB->best nan
CC->best nan
NP->interest nan
NN->interest nan
JJ->interest nan
IN->interest nan
VB->interest nan
TO->interest nan
DT->interest nan
PRP->interest nan
RB->interest nan
CC->interest nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->both nan
NN->both nan
JJ->both nan
IN->both nan
VB->both nan
TO->both nan
DT->both nan
PRP->both nan
RB->both nan
CC->both nan
NP->governments nan
NN->governments nan
JJ->governments nan
IN->governments nan
VB->governments nan
TO->governments nan
DT->governments nan
PRP->governments nan
RB->governments nan
CC->governments nan
NP->however nan
NN->however nan
JJ->however nan
IN->however nan
VB->however nan
TO->however nan
DT->however nan
PRP->however nan
RB->however nan
CC->however nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->believes nan
NN->believes nan
JJ->believes nan
IN->believes nan
VB->believes nan
TO->believes nan
DT->believes nan
PRP->believes nan
RB->believes nan
CC->believes nan
NP->these nan
NN->these nan
JJ->these nan
IN->these nan
VB->these nan
TO->these nan
DT->these nan
PRP->these nan
RB->these nan
CC->these nan
NP->two nan
NN->two nan
JJ->two nan
IN->two nan
VB->two nan
TO->two nan
DT->two nan
PRP->two nan
RB->two nan
CC->two nan
NP->offices nan
NN->offices nan
JJ->offices nan
IN->offices nan
VB->offices nan
TO->offices nan
DT->offices nan
PRP->offices nan
RB->offices nan
CC->offices nan
NP->should nan
NN->should nan
JJ->should nan
IN->should nan
VB->should nan
TO->should nan
DT->should nan
PRP->should nan
RB->should nan
CC->should nan
NP->be nan
NN->be nan
JJ->be nan
IN->be nan
VB->be nan
TO->be nan
DT->be nan
PRP->be nan
RB->be nan
CC->be nan
NP->combined nan
NN->combined nan
JJ->combined nan
IN->combined nan
VB->combined nan
TO->combined nan
DT->combined nan
PRP->combined nan
RB->combined nan
CC->combined nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->achieve nan
NN->achieve nan
JJ->achieve nan
IN->achieve nan
VB->achieve nan
TO->achieve nan
DT->achieve nan
PRP->achieve nan
RB->achieve nan
CC->achieve nan
NP->greater nan
NN->greater nan
JJ->greater nan
IN->greater nan
VB->greater nan
TO->greater nan
DT->greater nan
PRP->greater nan
RB->greater nan
CC->greater nan
NP->efficiency nan
NN->efficiency nan
JJ->efficiency nan
IN->efficiency nan
VB->efficiency nan
TO->efficiency nan
DT->efficiency nan
PRP->efficiency nan
RB->efficiency nan
CC->efficiency nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->reduce nan
NN->reduce nan
JJ->reduce nan
IN->reduce nan
VB->reduce nan
TO->reduce nan
DT->reduce nan
PRP->reduce nan
RB->reduce nan
CC->reduce nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->cost nan
NN->cost nan
JJ->cost nan
IN->cost nan
VB->cost nan
TO->cost nan
DT->cost nan
PRP->cost nan
RB->cost nan
CC->cost nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->administration nan
NN->administration nan
JJ->administration nan
IN->administration nan
VB->administration nan
TO->administration nan
DT->administration nan
PRP->administration nan
RB->administration nan
CC->administration nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->city nan
NN->city nan
JJ->city nan
IN->city nan
VB->city nan
TO->city nan
DT->city nan
PRP->city nan
RB->city nan
CC->city nan
NP->purchasing nan
NN->purchasing nan
JJ->purchasing nan
IN->purchasing nan
VB->purchasing nan
TO->purchasing nan
DT->purchasing nan
PRP->purchasing nan
RB->purchasing nan
CC->purchasing nan
NP->department nan
NN->department nan
JJ->department nan
IN->department nan
VB->department nan
TO->department nan
DT->department nan
PRP->department nan
RB->department nan
CC->department nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->is nan
NN->is nan
JJ->is nan
IN->is nan
VB->is nan
TO->is nan
DT->is nan
PRP->is nan
RB->is nan
CC->is nan
NP->lacking nan
NN->lacking nan
JJ->lacking nan
IN->lacking nan
VB->lacking nan
TO->lacking nan
DT->lacking nan
PRP->lacking nan
RB->lacking nan
CC->lacking nan
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->experienced nan
NN->experienced nan
JJ->experienced nan
IN->experienced nan
VB->experienced nan
TO->experienced nan
DT->experienced nan
PRP->experienced nan
RB->experienced nan
CC->experienced nan
NP->clerical nan
NN->clerical nan
JJ->clerical nan
IN->clerical nan
VB->clerical nan
TO->clerical nan
DT->clerical nan
PRP->clerical nan
RB->clerical nan
CC->clerical nan
NP->personnel nan
NN->personnel nan
JJ->personnel nan
IN->personnel nan
VB->personnel nan
TO->personnel nan
DT->personnel nan
PRP->personnel nan
RB->personnel nan
CC->personnel nan
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->result nan
NN->result nan
JJ->result nan
IN->result nan
VB->result nan
TO->result nan
DT->result nan
PRP->result nan
RB->result nan
CC->result nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->city nan
NN->city nan
JJ->city nan
IN->city nan
VB->city nan
TO->city nan
DT->city nan
PRP->city nan
RB->city nan
CC->city nan
NP->personnel nan
NN->personnel nan
JJ->personnel nan
IN->personnel nan
VB->personnel nan
TO->personnel nan
DT->personnel nan
PRP->personnel nan
RB->personnel nan
CC->personnel nan
NP->policies nan
NN->policies nan
JJ->policies nan
IN->policies nan
VB->policies nan
TO->policies nan
DT->policies nan
PRP->policies nan
RB->policies nan
CC->policies nan
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->urged nan
NN->urged nan
JJ->urged nan
IN->urged nan
VB->urged nan
TO->urged nan
DT->urged nan
PRP->urged nan
RB->urged nan
CC->urged nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->city nan
NN->city nan
JJ->city nan
IN->city nan
VB->city nan
TO->city nan
DT->city nan
PRP->city nan
RB->city nan
CC->city nan
NP->take nan
NN->take nan
JJ->take nan
IN->take nan
VB->take nan
TO->take nan
DT->take nan
PRP->take nan
RB->take nan
CC->take nan
NP->steps nan
NN->steps nan
JJ->steps nan
IN->steps nan
VB->steps nan
TO->steps nan
DT->steps nan
PRP->steps nan
RB->steps nan
CC->steps nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->remedy nan
NN->remedy nan
JJ->remedy nan
IN->remedy nan
VB->remedy nan
TO->remedy nan
DT->remedy nan
PRP->remedy nan
RB->remedy nan
CC->remedy nan
NP->this nan
NN->this nan
JJ->this nan
IN->this nan
VB->this nan
TO->this nan
DT->this nan
PRP->this nan
RB->this nan
CC->this nan
NP->problem nan
NN->problem nan
JJ->problem nan
IN->problem nan
VB->problem nan
TO->problem nan
DT->problem nan
PRP->problem nan
RB->problem nan
CC->problem nan
NP->implementation nan
NN->implementation nan
JJ->implementation nan
IN->implementation nan
VB->implementation nan
TO->implementation nan
DT->implementation nan
PRP->implementation nan
RB->implementation nan
CC->implementation nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->georgias nan
NN->georgias nan
JJ->georgias nan
IN->georgias nan
VB->georgias nan
TO->georgias nan
DT->georgias nan
PRP->georgias nan
RB->georgias nan
CC->georgias nan
NP->automobile nan
NN->automobile nan
JJ->automobile nan
IN->automobile nan
VB->automobile nan
TO->automobile nan
DT->automobile nan
PRP->automobile nan
RB->automobile nan
CC->automobile nan
NP->title nan
NN->title nan
JJ->title nan
IN->title nan
VB->title nan
TO->title nan
DT->title nan
PRP->title nan
RB->title nan
CC->title nan
NP->law nan
NN->law nan
JJ->law nan
IN->law nan
VB->law nan
TO->law nan
DT->law nan
PRP->law nan
RB->law nan
CC->law nan
NP->was nan
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->also nan
NN->also nan
JJ->also nan
IN->also nan
VB->also nan
TO->also nan
DT->also nan
PRP->also nan
RB->also nan
CC->also nan
NP->recommended nan
NN->recommended nan
JJ->recommended nan
IN->recommended nan
VB->recommended nan
TO->recommended nan
DT->recommended nan
PRP->recommended nan
RB->recommended nan
CC->recommended nan
NP->by nan
NN->by nan
JJ->by nan
IN->by nan
VB->by nan
TO->by nan
DT->by nan
PRP->by nan
RB->by nan
CC->by nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->outgoing nan
NN->outgoing nan
JJ->outgoing nan
IN->outgoing nan
VB->outgoing nan
TO->outgoing nan
DT->outgoing nan
PRP->outgoing nan
RB->outgoing nan
CC->outgoing nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->urged nan
NN->urged nan
JJ->urged nan
IN->urged nan
VB->urged nan
TO->urged nan
DT->urged nan
PRP->urged nan
RB->urged nan
CC->urged nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->next nan
NN->next nan
JJ->next nan
IN->next nan
VB->next nan
TO->next nan
DT->next nan
PRP->next nan
RB->next nan
CC->next nan
NP->legislature nan
NN->legislature nan
JJ->legislature nan
IN->legislature nan
VB->legislature nan
TO->legislature nan
DT->legislature nan
PRP->legislature nan
RB->legislature nan
CC->legislature nan
NP->provide nan
NN->provide nan
JJ->provide nan
IN->provide nan
VB->provide nan
TO->provide nan
DT->provide nan
PRP->provide nan
RB->provide nan
CC->provide nan
NP->enabling nan
NN->enabling nan
JJ->enabling nan
IN->enabling nan
VB->enabling nan
TO->enabling nan
DT->enabling nan
PRP->enabling nan
RB->enabling nan
CC->enabling nan
NP->funds nan
NN->funds nan
JJ->funds nan
IN->funds nan
VB->funds nan
TO->funds nan
DT->funds nan
PRP->funds nan
RB->funds nan
CC->funds nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->reset nan
NN->reset nan
JJ->reset nan
IN->reset nan
VB->reset nan
TO->reset nan
DT->reset nan
PRP->reset nan
RB->reset nan
CC->reset nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->effective nan
NN->effective nan
JJ->effective nan
IN->effective nan
VB->effective nan
TO->effective nan
DT->effective nan
PRP->effective nan
RB->effective nan
CC->effective nan
NP->date nan
NN->date nan
JJ->date nan
IN->date nan
VB->date nan
TO->date nan
DT->date nan
PRP->date nan
RB->date nan
CC->date nan
NP->so nan
NN->so nan
JJ->so nan
IN->so nan
VB->so nan
TO->so nan
DT->so nan
PRP->so nan
RB->so nan
CC->so nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->an nan
NN->an nan
JJ->an nan
IN->an nan
VB->an nan
TO->an nan
DT->an nan
PRP->an nan
RB->an nan
CC->an nan
NP->orderly nan
NN->orderly nan
JJ->orderly nan
IN->orderly nan
VB->orderly nan
TO->orderly nan
DT->orderly nan
PRP->orderly nan
RB->orderly nan
CC->orderly nan
NP->implementation nan
NN->implementation nan
JJ->implementation nan
IN->implementation nan
VB->implementation nan
TO->implementation nan
DT->implementation nan
PRP->implementation nan
RB->implementation nan
CC->implementation nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->law nan
NN->law nan
JJ->law nan
IN->law nan
VB->law nan
TO->law nan
DT->law nan
PRP->law nan
RB->law nan
CC->law nan
NP->may nan
NN->may nan
JJ->may nan
IN->may nan
VB->may nan
TO->may nan
DT->may nan
PRP->may nan
RB->may nan
CC->may nan
NP->be nan
NN->be nan
JJ->be nan
IN->be nan
VB->be nan
TO->be nan
DT->be nan
PRP->be nan
RB->be nan
CC->be nan
NP->effected nan
NN->effected nan
JJ->effected nan
IN->effected nan
VB->effected nan
TO->effected nan
DT->effected nan
PRP->effected nan
RB->effected nan
CC->effected nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->grand nan
NN->grand nan
JJ->grand nan
IN->grand nan
VB->grand nan
TO->grand nan
DT->grand nan
PRP->grand nan
RB->grand nan
CC->grand nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->took nan
NN->took nan
JJ->took nan
IN->took nan
VB->took nan
TO->took nan
DT->took nan
PRP->took nan
RB->took nan
CC->took nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->swipe nan
NN->swipe nan
JJ->swipe nan
IN->swipe nan
VB->swipe nan
TO->swipe nan
DT->swipe nan
PRP->swipe nan
RB->swipe nan
CC->swipe nan
NP->at nan
NN->at nan
JJ->at nan
IN->at nan
VB->at nan
TO->at nan
DT->at nan
PRP->at nan
RB->at nan
CC->at nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->state nan
NN->state nan
JJ->state nan
IN->state nan
